,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,city,state,sqft_free,$/ft2_living,$/ft,profit
0,1000102,2015-04-22,300000.0,6,3.0,2400,9373,2.0,0,0,3,7,2400,0,1991,0,98002,47.3262,-122.214,2060,7316,Auburn,WA,6973,125.0,32.00682812333298,0
1,1200019,2014-05-08,647500.0,4,1.75,2060,26036,1.0,0,0,4,8,1160,900,1947,0,98166,47.4444,-122.351,2590,21891,Seattle,WA,23976,314.3203883495146,24.86941158396067,0
2,1200021,2014-08-11,400000.0,3,1.0,1460,43000,1.0,0,0,3,7,1460,0,1952,0,98166,47.4434,-122.347,2250,20023,Seattle,WA,41540,273.972602739726,9.30232558139535,0
3,2800031,2015-04-01,235000.0,3,1.0,1430,7599,1.5,0,0,4,6,1010,420,1930,0,98168,47.4783,-122.265,1290,10320,Seattle,WA,6169,164.33566433566435,30.925121726542965,0
4,3600057,2015-03-19,402500.0,4,2.0,1650,3504,1.0,0,0,3,7,760,890,1951,2013,98144,47.5803,-122.294,1480,3504,Seattle,WA,1854,243.93939393939394,114.86872146118722,0
5,3600072,2015-03-30,680000.0,4,2.75,2220,5310,1.0,0,0,5,7,1170,1050,1951,0,98144,47.5801,-122.294,1540,4200,Seattle,WA,3090,306.3063063063063,128.060263653484,0
6,3800008,2015-02-24,178000.0,5,1.5,1990,18200,1.0,0,0,3,7,1990,0,1960,0,98178,47.4938,-122.262,1860,8658,Seattle,WA,16210,89.44723618090453,9.780219780219781,0
7,5200087,2014-07-09,487000.0,4,2.5,2540,5001,2.0,0,0,3,9,2540,0,2005,0,98108,47.5423,-122.302,2360,6834,Seattle,WA,2461,191.73228346456693,97.38052389522096,0
8,6200017,2014-11-12,281000.0,3,1.0,1340,21336,1.5,0,0,4,5,1340,0,1945,0,98032,47.4023,-122.273,1340,37703,Kent,WA,19996,209.70149253731344,13.170228721409824,0
9,7200080,2014-11-04,239000.0,4,2.0,1980,10585,1.5,0,0,2,6,1980,0,1924,0,98055,47.4836,-122.214,1360,7810,Renton,WA,8605,120.70707070707071,22.579121398205007,0
10,7200179,2015-04-24,175000.0,2,1.0,840,12750,1.0,0,0,3,6,840,0,1925,0,98055,47.484,-122.211,1480,6969,Renton,WA,11910,208.33333333333334,13.72549019607843,0
11,7400062,2014-05-21,299800.0,2,1.0,790,5240,1.0,0,0,4,6,790,0,1925,0,98118,47.5303,-122.288,1430,5320,Seattle,WA,4450,379.49367088607596,57.213740458015266,0
12,7600057,2014-08-05,520000.0,3,2.0,1410,2700,2.0,0,0,4,7,1410,0,1902,0,98122,47.6029,-122.302,1750,4000,Seattle,WA,1290,368.79432624113474,192.59259259259258,0
13,7600065,2014-06-05,465000.0,3,2.25,1530,1245,2.0,0,0,3,9,1050,480,2014,0,98122,47.6018,-122.297,1530,2307,Seattle,WA,-285,303.921568627451,373.49397590361446,0
14,7600125,2014-12-18,630000.0,5,1.0,3020,4800,2.0,0,0,3,7,3020,0,1901,0,98122,47.6025,-122.313,1350,1307,Seattle,WA,1780,208.60927152317882,131.25,0
15,7600136,2014-07-18,411000.0,2,2.0,1130,1148,2.0,0,0,3,9,800,330,2007,0,98122,47.6023,-122.314,1350,1201,Seattle,WA,18,363.716814159292,358.01393728222996,0
16,9000025,2014-12-03,496000.0,2,1.0,1420,4635,2.0,0,0,4,7,1420,0,1941,1973,98115,47.68,-122.304,1810,4635,Seattle,WA,3215,349.2957746478873,107.0118662351672,0
17,11200070,2014-07-21,570000.0,3,2.5,1530,3296,2.0,0,0,3,8,1530,0,1998,0,98007,47.6181,-122.138,1530,4099,Bellevue,WA,1766,372.54901960784315,172.9368932038835,0
18,11200290,2014-06-09,546000.0,3,2.5,1530,3464,2.0,0,0,3,8,1530,0,1998,0,98007,47.6179,-122.141,1530,3446,Bellevue,WA,1934,356.8627450980392,157.62124711316397,0
19,11200400,2014-09-23,617000.0,3,2.5,1910,4488,2.0,0,0,3,8,1910,0,1998,0,98007,47.6176,-122.14,1530,3696,Bellevue,WA,2578,323.0366492146597,137.4777183600713,0
20,11300120,2014-06-30,635000.0,3,2.5,3350,4007,2.0,0,0,3,8,2550,800,2005,0,98034,47.7277,-122.207,2340,4167,Kirkland,WA,657,189.55223880597015,158.47267282256053,0
21,11500240,2015-04-28,872750.0,3,2.5,2870,13695,2.0,0,0,3,10,2870,0,1991,0,98052,47.6944,-122.102,2840,8472,Redmond,WA,10825,304.0940766550523,63.72763782402337,0
22,11500890,2015-03-12,843000.0,3,2.5,3130,8750,2.0,0,0,3,10,3130,0,1991,0,98052,47.6954,-122.103,2860,9003,Redmond,WA,5620,269.3290734824281,96.34285714285714,0
23,11501160,2014-06-17,837700.0,5,2.75,3010,12611,2.0,0,0,3,10,3010,0,1994,0,98052,47.696,-122.102,2890,9456,Redmond,WA,9601,278.30564784053155,66.42613591309174,0
24,11501310,2014-11-21,715000.0,3,3.25,3060,9055,2.0,0,0,3,10,2460,600,1994,0,98052,47.6971,-122.101,2990,9598,Redmond,WA,5995,233.66013071895424,78.961899503037,0
25,11501330,2014-09-02,795000.0,3,3.5,3190,10223,2.0,0,0,3,10,2560,630,1994,0,98052,47.6968,-122.102,3120,9735,Redmond,WA,7033,249.21630094043888,77.76582216570479,0
26,11510310,2014-09-05,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984,Redmond,WA,10282,266.77316293929715,62.257679689830006,0
27,11510700,2014-05-19,755000.0,4,2.5,2660,10452,2.0,0,0,3,9,2660,0,1993,0,98052,47.6972,-122.104,2890,9025,Redmond,WA,7792,283.83458646616543,72.23497895139687,0
28,11520030,2014-06-24,640000.0,4,2.5,2341,9594,2.0,0,0,3,9,2341,0,1997,0,98052,47.6993,-122.115,2850,9421,Redmond,WA,7253,273.3874412644169,66.70835939128622,0
29,11520200,2014-10-15,750000.0,4,2.5,3020,13122,2.0,0,0,3,9,2540,480,1997,0,98052,47.6989,-122.111,3020,10873,Redmond,WA,10102,248.34437086092714,57.155921353452214,0
30,11520370,2014-12-29,738000.0,3,2.5,2620,9112,2.0,0,0,3,9,2620,0,1995,0,98052,47.6972,-122.116,2620,9067,Redmond,WA,6492,281.6793893129771,80.99209833187007,0
31,11520640,2014-08-01,810000.0,4,2.75,3010,10450,2.0,0,0,3,9,3010,0,1996,0,98052,47.6979,-122.112,3010,10530,Redmond,WA,7440,269.10299003322257,77.51196172248804,0
32,11900140,2014-05-09,254000.0,3,2.5,1850,4597,2.0,0,0,3,8,1850,0,2003,0,98042,47.3755,-122.136,2210,5000,Kent,WA,2747,137.2972972972973,55.253426147487495,0
33,13001215,2015-03-05,130000.0,3,1.0,1100,5100,1.0,0,0,4,7,1100,0,1913,0,98108,47.5231,-122.332,1450,5100,Seattle,WA,4000,118.18181818181819,25.49019607843137,0
34,13001795,2014-10-14,319500.0,4,2.75,2500,5100,1.5,0,0,4,7,1420,1080,1907,0,98108,47.523,-122.332,1430,5100,Seattle,WA,2600,127.8,62.64705882352941,0
35,13001991,2014-09-02,207000.0,3,2.5,1520,2550,2.0,0,0,3,7,1520,0,2005,0,98108,47.5245,-122.33,1460,2550,Seattle,WA,1030,136.18421052631578,81.17647058823529,0
36,13002460,2015-03-18,205000.0,2,1.75,1740,5100,1.0,0,0,3,6,580,1160,1915,0,98108,47.5211,-122.33,1440,5100,Seattle,WA,3360,117.816091954023,40.19607843137255,0
37,13002495,2014-07-07,295000.0,3,1.5,1640,7222,2.0,0,0,4,7,1640,0,1908,0,98108,47.5215,-122.33,1240,5100,Seattle,WA,5582,179.8780487804878,40.84741068955968,0
38,16000015,2015-04-17,219950.0,3,1.5,1070,6601,1.0,0,0,3,6,1070,0,1985,0,98002,47.3115,-122.209,1030,6614,Auburn,WA,5531,205.5607476635514,33.32070898348735,0
39,16000200,2014-10-24,250000.0,3,2.25,1640,4420,2.0,0,0,4,7,1640,0,1918,1983,98002,47.311,-122.21,1230,6632,Auburn,WA,2780,152.4390243902439,56.56108597285068,0
40,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,Auburn,WA,8650,157.5,19.18781725888325,0
41,16000435,2015-03-16,218500.0,2,1.0,1600,8961,1.0,0,0,4,7,1390,210,1949,0,98002,47.3098,-122.21,1502,6798,Auburn,WA,7361,136.5625,24.383439348287023,0
42,16000545,2015-03-12,250000.0,4,1.0,1320,11212,1.0,0,0,5,6,1320,0,1914,0,98002,47.3098,-122.209,1060,6766,Auburn,WA,9892,189.3939393939394,22.297538351765965,0
43,23500180,2014-05-05,570000.0,3,2.25,2010,6000,1.0,0,0,3,8,1330,680,1975,0,98052,47.6912,-122.115,2080,8260,Redmond,WA,3990,283.5820895522388,95.0,0
44,23500190,2014-10-08,515000.0,4,2.25,2470,7800,1.0,0,0,3,8,1470,1000,1975,0,98052,47.6913,-122.115,2050,8050,Redmond,WA,5330,208.50202429149797,66.02564102564102,0
45,23500220,2014-10-15,550120.0,5,2.5,2620,8050,1.0,0,0,3,8,1520,1100,1975,0,98052,47.6919,-122.115,2030,7676,Redmond,WA,5430,209.96946564885496,68.33788819875777,0
46,23520190,2015-03-16,490000.0,3,1.75,1470,9750,1.0,0,0,4,7,1470,0,1978,0,98052,47.6975,-122.12,1800,9600,Redmond,WA,8280,333.3333333333333,50.256410256410255,0
47,23520380,2014-09-09,539000.0,3,1.75,1790,9860,1.0,0,0,4,7,1410,380,1978,0,98052,47.6989,-122.12,1820,9555,Redmond,WA,8070,301.1173184357542,54.665314401622716,0
48,31000165,2014-09-11,1490000.0,5,3.5,3620,7821,2.0,0,2,3,10,2790,830,1958,2010,98040,47.5738,-122.215,2690,9757,Mercer Island,WA,4201,411.6022099447514,190.51272215829178,0
49,31200020,2015-03-19,1038000.0,5,2.75,3050,8904,1.0,0,0,4,8,1650,1400,1956,0,98040,47.5709,-122.214,2920,8904,Mercer Island,WA,5854,340.327868852459,116.57681940700809,0
50,34000005,2014-06-18,343566.0,2,1.0,1100,4200,1.0,0,0,3,7,1100,0,1954,0,98136,47.5312,-122.392,1240,4000,Seattle,WA,3100,312.33272727272725,81.80142857142857,0
51,34001160,2014-09-19,590000.0,3,2.0,3030,9374,1.0,0,1,4,7,2100,930,1959,0,98136,47.5289,-122.391,1990,6012,Seattle,WA,6344,194.7194719471947,62.94004693834009,0
52,34001304,2015-04-10,480000.0,5,2.25,2240,5500,1.0,0,0,3,7,1490,750,1959,0,98136,47.5305,-122.391,2010,6050,Seattle,WA,3260,214.28571428571428,87.27272727272727,0
53,34001540,2015-04-23,573300.0,2,1.75,1290,6600,1.0,0,2,3,7,870,420,1951,0,98136,47.531,-122.39,2380,7370,Seattle,WA,5310,444.4186046511628,86.86363636363636,0
54,34001765,2015-03-25,699950.0,3,3.25,2230,5460,1.0,0,1,4,8,1430,800,1977,0,98136,47.53,-122.388,2070,5600,Seattle,WA,3230,313.8789237668162,128.1959706959707,0
55,37000335,2014-08-14,446450.0,3,1.5,1480,7749,1.0,0,0,5,7,1480,0,1960,0,98126,47.5144,-122.379,1140,5320,Seattle,WA,6269,301.6554054054054,57.61388566266615,0
56,37000435,2015-02-14,325000.0,2,1.0,1130,5070,1.0,0,0,4,7,1130,0,1955,0,98146,47.5141,-122.377,860,6300,Seattle,WA,3940,287.6106194690266,64.1025641025641,0
57,40000228,2014-10-15,221900.0,2,1.0,780,6727,1.0,0,0,3,6,780,0,1939,0,98168,47.4733,-122.281,1860,10124,Seattle,WA,5947,284.4871794871795,32.98647242455775,0
58,40000235,2015-04-14,380000.0,5,2.5,2130,8428,2.0,0,0,3,7,2130,0,2013,0,98168,47.4726,-122.282,1500,11810,Seattle,WA,6298,178.4037558685446,45.08780256288562,0
59,40000362,2014-05-06,78000.0,2,1.0,780,16344,1.0,0,0,1,5,780,0,1942,0,98168,47.4739,-122.28,1700,10387,Seattle,WA,15564,100.0,4.772393538913363,0
60,40000471,2014-06-04,170000.0,2,1.0,1500,18540,1.0,0,0,3,8,1500,0,1950,0,98168,47.4727,-122.281,1700,9355,Seattle,WA,17040,113.33333333333333,9.169363538295578,0
61,40000553,2015-03-04,250000.0,2,1.0,1400,19570,1.5,0,0,3,6,1100,300,1929,0,98168,47.4724,-122.271,2250,6500,Seattle,WA,18170,178.57142857142858,12.774655084312723,0
62,40000669,2015-03-19,499950.0,4,2.5,2910,20067,2.0,0,0,3,9,2910,0,2001,0,98168,47.4714,-122.273,1730,21420,Seattle,WA,17157,171.8041237113402,24.91403797279115,0
63,40001065,2014-05-29,250000.0,2,1.0,1110,26051,1.0,0,0,3,6,1110,0,1951,0,98168,47.4711,-122.291,2240,12255,Seattle,WA,24941,225.22522522522522,9.596560592683582,0
64,41000454,2014-08-15,130000.0,2,1.0,880,9000,1.0,0,0,3,5,880,0,1928,0,98188,47.4672,-122.291,1410,10000,Seattle,WA,8120,147.72727272727272,14.444444444444445,0
65,42000006,2014-09-10,235000.0,5,1.0,1500,9282,1.5,0,0,5,6,1500,0,1966,0,98168,47.4702,-122.281,1520,9639,Seattle,WA,7782,156.66666666666666,25.317819435466493,0
66,42000065,2015-03-05,355000.0,2,1.0,1450,9150,1.0,0,0,4,7,1450,0,1965,0,98188,47.4689,-122.277,1440,10636,Seattle,WA,7700,244.82758620689654,38.797814207650276,0
67,42000127,2015-02-24,406500.0,3,1.5,1970,10080,1.0,0,0,3,7,1970,0,1966,0,98168,47.4703,-122.276,2240,10080,Seattle,WA,8110,206.3451776649746,40.32738095238095,0
68,42000130,2014-09-24,600000.0,5,4.5,4440,9784,2.0,0,0,3,10,4440,0,2012,0,98168,47.4702,-122.275,2720,10080,Seattle,WA,5344,135.13513513513513,61.324611610793134,0
69,42000245,2014-06-13,171000.0,4,2.0,1520,19672,1.0,0,0,3,6,1020,500,1920,0,98188,47.4683,-122.281,1810,7840,Seattle,WA,18152,112.5,8.692557950386336,0
70,46100204,2015-02-21,1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1870,1430,1957,1991,98040,47.5673,-122.21,3836,20953,Mercer Island,WA,30174,456.06060606060606,44.96026767043078,0
71,46100350,2014-06-30,1730000.0,5,3.5,5000,26540,2.0,0,3,3,10,3410,1590,2008,0,98040,47.5665,-122.21,3360,17398,Mercer Island,WA,21540,346.0,65.1846269781462,0
72,46100504,2014-06-17,2027000.0,4,3.75,4100,22798,1.5,0,3,5,11,2540,1560,1934,1979,98040,47.5648,-122.21,3880,18730,Mercer Island,WA,18698,494.390243902439,88.91130800947451,0
73,49000051,2015-03-16,350000.0,2,1.75,1430,7921,1.0,0,0,3,7,1430,0,1983,0,98146,47.5088,-122.371,1290,8040,Seattle,WA,6491,244.75524475524475,44.18634010857215,0
74,49500090,2014-12-05,372000.0,4,1.5,1780,7914,1.5,0,0,4,7,1780,0,1962,0,98059,47.5142,-122.163,1350,8069,Renton,WA,6134,208.98876404494382,47.005307050796056,0
75,50300090,2014-08-11,398950.0,4,3.0,3000,10297,2.0,0,0,3,8,3000,0,2003,0,98042,47.3684,-122.073,2520,8366,Kent,WA,7297,132.98333333333332,38.74429445469554,0
76,50300220,2015-02-12,363000.0,4,2.5,2180,9281,2.0,0,0,3,8,2180,0,2004,0,98042,47.3673,-122.072,2520,9520,Kent,WA,7101,166.5137614678899,39.11216463743131,0
77,52000067,2014-11-03,495000.0,3,3.5,1650,1577,2.0,0,0,3,7,1100,550,2012,0,98109,47.6302,-122.344,1580,1280,Seattle,WA,-73,300.0,313.8871274571972,0
78,53500020,2015-01-14,248000.0,3,2.5,1870,4046,2.0,0,0,3,7,1870,0,2007,0,98042,47.342,-122.059,2130,4800,Kent,WA,2176,132.62032085561498,61.29510627780524,0
79,53500450,2015-03-09,311850.0,4,2.5,1890,4158,2.0,0,0,3,8,1890,0,2014,0,98042,47.343,-122.056,2720,4549,Kent,WA,2268,165.0,75.0,0
80,53500760,2014-12-08,287000.0,4,2.5,2660,4082,2.0,0,0,3,7,2660,0,2010,0,98042,47.3414,-122.055,2390,4876,Kent,WA,1422,107.89473684210526,70.30867221950024,0
81,56000095,2014-06-26,805000.0,3,2.75,2600,5875,1.5,0,2,5,8,1600,1000,1929,0,98116,47.5773,-122.406,2260,5492,Seattle,WA,3275,309.61538461538464,137.0212765957447,0
82,59000201,2015-05-05,611206.0,1,1.0,1940,6300,1.0,0,3,3,8,1940,0,1963,0,98116,47.5782,-122.4,2560,6300,Seattle,WA,4360,315.0546391752577,97.0168253968254,0
83,59000250,2014-12-03,720000.0,3,1.5,2180,5000,1.0,0,3,4,8,1090,1090,1941,0,98116,47.5787,-122.402,2070,5000,Seattle,WA,2820,330.27522935779814,144.0,0
84,59000445,2014-09-23,590000.0,4,2.75,2240,5400,2.0,0,0,4,7,1540,700,1940,0,98116,47.5785,-122.402,1830,5000,Seattle,WA,3160,263.39285714285717,109.25925925925925,0
85,59500050,2014-12-16,324900.0,4,2.25,2010,7280,2.0,0,0,4,8,2010,0,1988,0,98032,47.3585,-122.286,1660,7579,Kent,WA,5270,161.6417910447761,44.629120879120876,0
86,65000085,2014-07-08,430000.0,3,2.0,1550,6039,1.0,0,0,5,7,830,720,1942,0,98126,47.5436,-122.378,1330,6042,Seattle,WA,4489,277.4193548387097,71.20384169564497,0
87,65000210,2014-06-26,471000.0,2,1.75,1240,6417,1.0,0,0,5,7,1240,0,1924,0,98126,47.5439,-122.379,1800,6417,Seattle,WA,5177,379.83870967741933,73.39878447872837,0
88,65000260,2014-08-20,830000.0,3,2.5,3370,6550,2.0,0,2,4,8,2840,530,1912,2001,98126,47.5442,-122.38,1500,6550,Seattle,WA,3180,246.2908011869436,126.7175572519084,0
89,65000400,2014-10-22,570000.0,4,3.0,1490,6766,1.5,0,1,5,7,1490,0,1915,0,98136,47.5446,-122.382,1990,6526,Seattle,WA,5276,382.5503355704698,84.24475317765297,0
90,66000070,2015-04-06,315000.0,2,1.0,630,6550,1.0,0,0,3,5,630,0,1918,0,98126,47.5486,-122.38,1420,6550,Seattle,WA,5920,500.0,48.091603053435115,0
91,66000140,2014-11-20,398000.0,3,1.0,1480,6550,1.5,0,0,4,6,1480,0,1925,0,98126,47.5498,-122.381,1200,6550,Seattle,WA,5070,268.9189189189189,60.76335877862596,0
92,66000265,2014-08-07,370000.0,2,1.0,820,6550,1.0,0,0,3,7,820,0,1949,2012,98126,47.5478,-122.381,1640,6550,Seattle,WA,5730,451.219512195122,56.48854961832061,0
93,84000105,2014-05-07,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,Seattle,WA,6572,123.7864077669903,29.54124189063948,0
94,84000245,2014-11-20,190000.0,3,1.75,1100,9452,1.0,0,0,3,6,1100,0,1942,0,98146,47.4864,-122.337,1350,9452,Seattle,WA,8352,172.72727272727272,20.101565806178588,0
95,84000335,2014-06-26,225000.0,3,2.0,1700,11475,1.0,0,0,5,6,970,730,1945,0,98146,47.4851,-122.338,1560,11475,Seattle,WA,9775,132.35294117647058,19.607843137254903,0
