,id,zipcode,city,price_min,price_mean,price_max,$/ft2_living_mean,profit_max,profit_min
0,1000102,98002,Auburn,300000.0,300000.0,300000.0,125.0,0,0
4,3600057,98144,Seattle,402500.0,402500.0,402500.0,243.93939393939394,0,0
5,3600072,98144,Seattle,680000.0,680000.0,680000.0,306.3063063063063,0,0
6,3800008,98178,Seattle,178000.0,178000.0,178000.0,89.44723618090453,0,0
7,5200087,98108,Seattle,487000.0,487000.0,487000.0,191.73228346456693,0,0
8,6200017,98032,Kent,281000.0,281000.0,281000.0,209.70149253731344,0,0
9,7200080,98055,Renton,239000.0,239000.0,239000.0,120.70707070707071,0,0
10,7200179,98055,Renton,175000.0,175000.0,175000.0,208.33333333333334,0,0
3,2800031,98168,Seattle,235000.0,235000.0,235000.0,164.33566433566435,0,0
11,7400062,98118,Seattle,299800.0,299800.0,299800.0,379.49367088607596,0,0
13,7600065,98122,Seattle,465000.0,465000.0,465000.0,303.921568627451,0,0
14,7600125,98122,Seattle,630000.0,630000.0,630000.0,208.60927152317882,0,0
15,7600136,98122,Seattle,411000.0,411000.0,411000.0,363.716814159292,0,0
16,9000025,98115,Seattle,496000.0,496000.0,496000.0,349.2957746478873,0,0
17,11200070,98007,Bellevue,570000.0,570000.0,570000.0,372.54901960784315,0,0
18,11200290,98007,Bellevue,546000.0,546000.0,546000.0,356.8627450980392,0,0
39,16000200,98002,Auburn,250000.0,250000.0,250000.0,152.4390243902439,0,0
12,7600057,98122,Seattle,520000.0,520000.0,520000.0,368.79432624113474,0,0
161,109000040,98155,Seattle,305000.0,305000.0,305000.0,208.9041095890411,0,0
2,1200021,98166,Seattle,400000.0,400000.0,400000.0,273.972602739726,0,0
20,11300120,98034,Kirkland,635000.0,635000.0,635000.0,189.55223880597015,0,0
25,11501330,98052,Redmond,795000.0,795000.0,795000.0,249.21630094043888,0,0
26,11510310,98052,Redmond,835000.0,835000.0,835000.0,266.77316293929715,0,0
27,11510700,98052,Redmond,755000.0,755000.0,755000.0,283.83458646616543,0,0
28,11520030,98052,Redmond,640000.0,640000.0,640000.0,273.3874412644169,0,0
29,11520200,98052,Redmond,750000.0,750000.0,750000.0,248.34437086092714,0,0
22,11500890,98052,Redmond,843000.0,843000.0,843000.0,269.3290734824281,0,0
30,11520370,98052,Redmond,738000.0,738000.0,738000.0,281.6793893129771,0,0
19,11200400,98007,Bellevue,617000.0,617000.0,617000.0,323.0366492146597,0,0
32,11900140,98042,Kent,254000.0,254000.0,254000.0,137.2972972972973,0,0
34,13001795,98108,Seattle,319500.0,319500.0,319500.0,127.8,0,0
35,13001991,98108,Seattle,207000.0,207000.0,207000.0,136.18421052631578,0,0
36,13002460,98108,Seattle,205000.0,205000.0,205000.0,117.816091954023,0,0
37,13002495,98108,Seattle,295000.0,295000.0,295000.0,179.8780487804878,0,0
38,16000015,98002,Auburn,219950.0,219950.0,219950.0,205.5607476635514,0,0
31,11520640,98052,Redmond,810000.0,810000.0,810000.0,269.10299003322257,0,0
21,11500240,98052,Redmond,872750.0,872750.0,872750.0,304.0940766550523,0,0
33,13001215,98108,Seattle,130000.0,130000.0,130000.0,118.18181818181819,0,0
40,16000397,98002,Auburn,189000.0,189000.0,189000.0,157.5,0,0
42,16000545,98002,Auburn,250000.0,250000.0,250000.0,189.3939393939394,0,0
64,41000454,98188,Seattle,130000.0,130000.0,130000.0,147.72727272727272,0,0
45,23500220,98052,Redmond,550120.0,550120.0,550120.0,209.96946564885496,0,0
46,23520190,98052,Redmond,490000.0,490000.0,490000.0,333.3333333333333,0,0
47,23520380,98052,Redmond,539000.0,539000.0,539000.0,301.1173184357542,0,0
48,31000165,98040,Mercer Island,1490000.0,1490000.0,1490000.0,411.6022099447514,0,0
49,31200020,98040,Mercer Island,1038000.0,1038000.0,1038000.0,340.327868852459,0,0
50,34000005,98136,Seattle,343566.0,343566.0,343566.0,312.33272727272725,0,0
51,34001160,98136,Seattle,590000.0,590000.0,590000.0,194.7194719471947,0,0
44,23500190,98052,Redmond,515000.0,515000.0,515000.0,208.50202429149797,0,0
52,34001304,98136,Seattle,480000.0,480000.0,480000.0,214.28571428571428,0,0
54,34001765,98136,Seattle,699950.0,699950.0,699950.0,313.8789237668162,0,0
55,37000335,98126,Seattle,446450.0,446450.0,446450.0,301.6554054054054,0,0
56,37000435,98146,Seattle,325000.0,325000.0,325000.0,287.6106194690266,0,0
57,40000228,98168,Seattle,221900.0,221900.0,221900.0,284.4871794871795,0,0
58,40000235,98168,Seattle,380000.0,380000.0,380000.0,178.4037558685446,0,0
59,40000362,98168,Seattle,78000.0,78000.0,78000.0,100.0,0,0
41,16000435,98002,Auburn,218500.0,218500.0,218500.0,136.5625,0,0
53,34001540,98136,Seattle,573300.0,573300.0,573300.0,444.4186046511628,0,0
43,23500180,98052,Redmond,570000.0,570000.0,570000.0,283.5820895522388,0,0
